geo_unit_code,name,geo_code,geo_level_code,parent_geo_code,is_active
ke/kitui-west,Kitui West,001-015-002,constituency,001-015,true
ke/kitui-east,Kitui East,001-015-003,constituency,001-015,true
ke/kitui-south,Kitui South,001-015-004,constituency,001-015,true
ke/kitui-north,Kitui North,001-015-005,constituency,001-015,true
ke/kitui-mwingi,Mwingi,001-015-006,constituency,001-015,true
ke/kitui-mwingi-west,Mwingi West,001-015-007,constituency,001-015,true
ke/kitui-mwingi-north,Mwingi North,001-015-008,constituency,001-015,true
ke/kitui-central,Kitui Central Sub-county,001-015-001-sub,sub-county,001-015,true
ke/kitui-west,Kitui West Sub-county,001-015-002-sub,sub-county,001-015,true
ke/kitui-east,Kitui East Sub-county,001-015-003-sub,sub-county,001-015,true
ke/kitui-south,Kitui South Sub-county,001-015-004-sub,sub-county,001-015,true
ke/kitui-north,Kitui North Sub-county,001-015-005-sub,sub-county,001-015,true
ke/kitui-mwingi,Mwingi Sub-county,001-015-006-sub,sub-county,001-015,true
ke/makueni,Makueni,001-017,county,001,true
ke/makueni-town,Makueni Town,001-017-001,constituency,001-017,true
ke/makueni/kibwezi,Kibwezi,001-017-002,constituency,001-017,true
ke/makueni/kaiti,Kaiti,001-017-003,constituency,001-017,true
ke/makueni/kilome,Kilome,001-017-004,constituency,001-017,true
ke/makueni/mbooni,Mbooni,001-017-005,constituency,001-017,true
ke/makueni/kibwezi,Kibwezi Sub-county,001-017-001-sub,sub-county,001-017,true
ke/makueni-kaiti,Kaiti Sub-county,001-017-002-sub,sub-county,001-017,true
ke/makueni-kilome,Kilome Sub-county,001-017-003-sub,sub-county,001-017,true
ke/makueni-mbooni,Mbooni Sub-county,001-017-004-sub,sub-county,001-017,true
ke/makueni-town,Makueni Town Sub-county,001-017-005-sub,sub-county,001-017,true
ke/turkana,Turkana,001-023,county,001,true
ke/turkana-central,Turkana Central,001-023-001,constituency,001-023,true
ke/turkana-north,Turkana North,001-023-002,constituency,001-023,true
ke/turkana-south,Turkana South,001-023-003,constituency,001-023,true
ke/turkana-east,Turkana East,001-023-004,constituency,001-023,true
ke/turkana-west,Turkana West,001-023-005,constituency,001-023,true
ke/turkana-central,Turkana Central Sub-county,001-023-001-sub,sub-county,001-023,true
ke/turkana-north,Turkana North Sub-county,001-023-002-sub,sub-county,001-023,true
ke/turkana-south,Turkana South Sub-county,001-023-003-sub,sub-county,001-023,true
ke/turkana-east,Turkana East Sub-county,001-023-004-sub,sub-county,001-023,true
ke/turkana-west,Turkana West Sub-county,001-023-005-sub,sub-county,001-023,true
ke/wajir,Wajir,001-040,county,001,true
ke/wajir-east,Wajir East,001-040-001,constituency,001-040,true
ke/wajir-west,Wajir West,001-040-002,constituency,001-040,true
ke/wajir-north,Wajir North,001-040-003,constituency,001-040,true
ke/wajir-south,Wajir South,001-040-004,constituency,001-040,true
ke/wajir-tarbaj,Tarbaj,001-040-005,constituency,001-040,true
ke/wajir-east,Wajir East Sub-county,001-040-001-sub,sub-county,001-040,true
ke/wajir-west,Wajir West Sub-county,001-040-002-sub,sub-county,001-040,true
ke/wajir-north,Wajir North Sub-county,001-040-003-sub,sub-county,001-040,true
ke/wajir-south,Wajir South Sub-county,001-040-004-sub,sub-county,001-040,true
ke/wajir-tarbaj,Tarbaj Sub-county,001-040-005-sub,sub-county,001-040,true
ke/mandera,Mandera,001-014,county,001,true
ke/mandera-north,Mandera North,001-014-001,constituency,001-014,true
ke/mandera-south,Mandera South,001-014-002,constituency,001-014,true
ke/mandera-east,Mandera East,001-014-003,constituency,001-014,true
ke/mandera-west,Mandera West,001-014-004,constituency,001-014,true
ke/mandera-central,Mandera Central,001-014-005,constituency,001-014,true
ke/mandera-banisa,Banisa,001-014-006,constituency,001-014,true
ke/mandera-north,Mandera North Sub-county,001-014-001-sub,sub-county,001-014,true
ke/mandera-south,Mandera South Sub-county,001-014-002-sub,sub-county,001-014,true
ke/mandera-east,Mandera East Sub-county,001-014-003-sub,sub-county,001-014,true
ke/mandera-west,Mandera West Sub-county,001-014-004-sub,sub-county,001-014,true
ke/mandera-central,Mandera Central Sub-county,001-014-005-sub,sub-county,001-014,true
ke/mandera-banisa,Banisa Sub-county,001-014-006-sub,sub-county,001-014,true
ke/marsabit,Marsabit,001-010,county,001,true
ke/marsabit-central,Marsabit Central,001-010-001,constituency,001-010,true
ke/marsabit-north,Marsabit North,001-010-002,constituency,001-010,true
ke/marsabit-south,Marsabit South,001-010-003,constituency,001-010,true
ke/marsabit-east,Marsabit East,001-010-004,constituency,001-010,true
ke/marsabit-laisamis,Laisamis,001-010-005,constituency,001-010,true
ke/marsabit-saku,Saku,001-010-006,constituency,001-010,true
ke/marsabit-central,Marsabit Central Sub-county,001-010-001-sub,sub-county,001-010,true
ke/marsabit-north,Marsabit North Sub-county,001-010-002-sub,sub-county,001-010,true
ke/marsabit-south,Marsabit South Sub-county,001-010-003-sub,sub-county,001-010,true
ke/marsabit-east,Marsabit East Sub-county,001-010-004-sub,sub-county,001-010,true
ke/marsabit-laisamis,Laisamis Sub-county,001-010-005-sub,sub-county,001-010,true
ke/marsabit-saku,Saku Sub-county,001-010-006-sub,sub-county,001-010,true
ke/isiolo,Isiolo,001-009,county,001,true
ke/isiolo-central,Isiolo Central,001-009-001,constituency,001-009,true
ke/isiolo-north,Isiolo North,001-009-002,constituency,001-009,true
ke/isiolo-south,Isiolo South,001-009-003,constituency,001-009,true
ke/isiolo-central,Isiolo Central Sub-county,001-009-001-sub,sub-county,001-009,true
ke/isiolo-north,Isiolo North Sub-county,001-009-002-sub,sub-county,001-009,true
ke/isiolo-south,Isiolo South Sub-county,001-009-003-sub,sub-county,001-009,true
ke/samburu,Samburu,001-035,county,001,true
ke/samburu-central,Samburu Central,001-035-001,constituency,001-035,true
ke/samburu-north,Samburu North,001-035-002,constituency,001-035,true
ke/samburu-east,Samburu East,001-035-003,constituency,001-035,true
ke/samburu-west,Samburu West,001-035-004,constituency,001-035,true
ke/samburu-central,Samburu Central Sub-county,001-035-001-sub,sub-county,001-035,true
ke/samburu-north,Samburu North Sub-county,001-035-002-sub,sub-county,001-035,true
ke/samburu-east,Samburu East Sub-county,001-035-003-sub,sub-county,001-035,true
ke/samburu-west,Samburu West Sub-county,001-035-004-sub,sub-county,001-035,true
ke/trans-nzoia,Trans Nzoia,001-038,county,001,true
ke/trans-nzoia-east,Trans Nzoia East,001-038-001,constituency,001-038,true
ke/trans-nzoia-west,Trans Nzoia West,001-038-002,constituency,001-038,true
ke/trans-nzoia-saboti,Saboti,001-038-003,constituency,001-038,true
ke/trans-nzoia-kwanza,Kwanza,001-038-004,constituency,001-038,true
ke/trans-nzoia-cherangany,Cherangany,001-038-005,constituency,001-038,true
ke/trans-nzoia-east,Trans Nzoia East Sub-county,001-038-001-sub,sub-county,001-038,true
ke/trans-nzoia-west,Trans Nzoia West Sub-county,001-038-002-sub,sub-county,001-038,true
ke/trans-nzoia-saboti,Saboti Sub-county,001-038-003-sub,sub-county,001-038,true
ke/trans-nzoia-kwanza,Kwanza Sub-county,001-038-004-sub,sub-county,001-038,true
ke/trans-nzoia-cherangany,Cherangany Sub-county,001-038-005-sub,sub-county,001-038,true
ke/baringo,Baringo,001-002,county,001,true
ke/baringo-central,Baringo Central,001-002-001,constituency,001-002,true
ke/baringo-north,Baringo North,001-002-002,constituency,001-002,true
ke/baringo-south,Baringo South,001-002-003,constituency,001-002,true
ke/baringo-tiaty,Tiaty,001-002-004,constituency,001-002,true
ke/baringo-eldama,Eldama Ravine,001-002-005,constituency,001-002,true
ke/baringo-central,Baringo Central Sub-county,001-002-001-sub,sub-county,001-002,true
ke/baringo-north,Baringo North Sub-county,001-002-002-sub,sub-county,001-002,true
ke/baringo-south,Baringo South Sub-county,001-002-003-sub,sub-county,001-002,true
ke/baringo-tiaty,Tiaty Sub-county,001-002-004-sub,sub-county,001-002,true
ke/baringo-eldama,Eldama Ravine Sub-county,001-002-005-sub,sub-county,001-002,true
ke/laikipia,Laikipia,001-012,county,001,true
ke/laikipia-east,Laikipia East,001-012-001,constituency,001-012,true
ke/laikipia-west,Laikipia West,001-012-002,constituency,001-012,true
ke/laikipia-north,Laikipia North,001-012-003,constituency,001-012,true
ke/laikipia-east,Laikipia East Sub-county,001-012-001-sub,sub-county,001-012,true
ke/laikipia-west,Laikipia West Sub-county,001-012-002-sub,sub-county,001-012,true
ke/laikipia-north,Laikipia North Sub-county,001-012-003-sub,sub-county,001-012,true
ke/narok,Narok,001-027,county,001,true
ke/narok-north,Narok North,001-027-001,constituency,001-027,true
ke/narok-south,Narok South,001-027-002,constituency,001-027,true
ke/narok-east,Narok East,001-027-003,constituency,001-027,true
ke/narok-west,Narok West,001-027-004,constituency,001-027,true
ke/narok-kilgoris,Kilgoris,001-027-005,constituency,001-027,true
ke/narok-north,Narok North Sub-county,001-027-001-sub,sub-county,001-027,true
ke/narok-south,Narok South Sub-county,001-027-002-sub,sub-county,001-027,true
ke/narok-east,Narok East Sub-county,001-027-003-sub,sub-county,001-027,true
ke/narok-west,Narok West Sub-county,001-027-004-sub,sub-county,001-027,true
ke/narok-kilgoris,Kilgoris Sub-county,001-027-005-sub,sub-county,001-027,true
ke/kajiado,Kajiado,001-011,county,001,true
ke/kajiado-north,Kajiado North,001-011-001,constituency,001-011,true
ke/kajiado-central,Kajiado Central,001-011-002,constituency,001-011,true
ke/kajiado-south,Kajiado South,001-011-003,constituency,001-011,true
ke/kajiado-east,Kajiado East,001-011-004,constituency,001-011,true
ke/kajiado-west,Kajiado West,001-011-005,constituency,001-011,true
ke/kajiado-north,Kajiado North Sub-county,001-011-001-sub,sub-county,001-011,true
ke/kajiado-central,Kajiado Central Sub-county,001-011-002-sub,sub-county,001-011,true
ke/kajiado-south,Kajiado South Sub-county,001-011-003-sub,sub-county,001-011,true
ke/kajiado-east,Kajiado East Sub-county,001-011-004-sub,sub-county,001-011,true
ke/kajiado-west,Kajiado West Sub-county,001-011-005-sub,sub-county,001-011,true
ke/taita-taveta,Taita Taveta,001-036,county,001,true
