person_code,full_name,alternate_names,title_prefix,title_suffix,gender,is_pwd,search_vector,status,date_of_birth,date_of_death,place_of_birth,status_source_url,is_active,last_verified_at,created_at,updated_at
ke/nairobi/uhuru-muigai-kenyatta-uk,Uhuru Muigai Kenyatta,"[""Uhuru"", ""UK"", ""Jayden""]",H.E.,CGH,male,false,"uhuru muigai kenyatta 4th president kenya cgh",alive,1961-10-26,,nairobi,https://www.uhurukenyatta.com,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kisumu/raila-amolo-odinga-baba,Raila Amolo Odinga,"[""Baba"", ""Agwambo"", ""Tinga""]",Rt. Hon.,EGH,male,false,"raila amolo odinga prime minister babaman",deceased,1945-01-07,2025-08-17,maseno kisumu,https://www.railaodinga.com,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kiambu/anthony-kimani-ichungwah-ichungwah,Anthony Kimani Ichung'wah,"[""Ichung'wah""]",Hon.,,male,false,"kimani ichungwah mp kikuyu majority leader",alive,1976-01-01,,kiambu,https://www.parliament.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kilifi/gideon-maitha-mungaro-mungaro,Gideon Maitha Mung'aro,"[""Mung'aro""]",Hon.,,male,false,"gideon mungaro governor kilifi mungaro",alive,1966-01-01,,kilifi,https://kilifi.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/uasin-gishu/jonathan-bii-chelilim-koti-moja,Jonathan Bii Chelilim,"[""Koti Moja""]",Hon.,,male,false,"jonathan bii koti moja governor uasin gishu",alive,1969-01-01,,uasin gishu,https://uasingishu.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kisumu/peter-anyang-nyongo-professor-nyongo,Peter Anyang' Nyong'o,"[""Prof. Nyong'o""]",Hon. Prof.,,male,false,"peter anyang nyongo governor kisumu professor",alive,1945-10-10,,kisumu,https://kisumu.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kirinyaga/anne-mumbi-waiguru-minji-minji,Anne Mumbi Waiguru,"[""Minji Minji""]",Hon.,EGH,female,false,"anne waiguru governor kirinyaga minji cog",alive,1971-04-16,,kirinyaga,https://kirinyaga.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/machakos/wavinya-ndeti-wavinya,Wavinya Ndeti,"[""Wavinya""]",Hon.,,female,false,"wavinya ndeti governor machakos yaliyo ndwele",alive,1967-11-08,,machakos,https://machakos.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kakamega/fernandes-barasa-barasa,Fernandes Barasa,"[""Barasa""]",Hon.,,male,false,"fernandes barasa governor kakamega",alive,1970-01-01,,kakamega,https://kakamega.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/nakuru/susan-wakarura-kihika-kihika,Susan Wakarura Kihika,"[""Kihika""]",Hon.,,female,false,"susan kihika governor nakuru",alive,1974-01-01,,nakuru,https://nakuru.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/bungoma/kenneth-makelo-lusaka-lusaka,Kenneth Makelo Lusaka,"[""Lusaka""]",Hon.,EGH,male,false,"kenneth lusaka governor bungoma speaker emeritus",alive,1963-09-18,,bungoma,https://bungoma.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/garissa/aden-bare-duale-duale,Aden Bare Duale,"[""Duale""]",Hon.,EGH,male,false,"aden duale cs defence executive garissa",alive,1969-01-01,,garissa,https://www.mod.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/tharaka-nithi/abraham-kithure-kindiki-kindiki,Abraham Kithure Kindiki,"[""Kindiki""]",Hon. Prof.,EGH,male,false,"kithure kindiki cs interior executive",alive,1972-07-16,,tharaka nithi,https://www.interior.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/elgeyo-marakwet/onesimus-kipchumba-murkomen-murkomen,Onesimus Kipchumba Murkomen,"[""Murkomen""]",Hon.,EGH,male,false,"kipchumba murkomen cs roads transport",alive,1979-03-12,,elgeyo marakwet,https://www.transport.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/meru/kawira-mwangaza-mwangaza,Kawira Mwangaza,"[""Mwangaza""]",Hon.,,female,false,"kawira mwangaza governor meru okolea",alive,1973-01-01,,meru,https://meru.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/nyandarua/moses-kiarie-badilisha-badilisha,Moses Kiarie Badilisha,"[""Badilisha""]",Hon.,,male,false,"moses badilisha governor nyandarua",alive,1970-01-01,,nyandarua,https://nyandarua.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/makueni/mutula-kilonzo-junior-mutula-jr,Mutula Kilonzo Junior,"[""Mutula Jr""]",Hon.,,male,false,"mutula kilonzo jr governor makueni lawyer",alive,1975-01-01,,makueni,https://makueni.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/narok/patrick-ole-ntutu-ntutu,Patrick Ole Ntutu,"[""Ntutu""]",Hon.,,male,false,"patrick ntutu governor narok",alive,1968-01-01,,narok,https://narok.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/muranga/alice-muthoni-wahome-wahome,Alice Muthoni Wahome,"[""Wahome""]",Hon.,,female,false,"alice wahome cs lands public works",alive,1959-01-01,,muranga,https://www.lands.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/makueni/philomena-mbete-mwilu-justice-mwilu,Philomena Mbete Mwilu,"[""Justice Mwilu""]",Hon. Lady Justice,,female,false,"philomena mwilu deputy chief justice supreme court",alive,1957-01-01,,makueni,https://www.judiciary.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/siaya/eliud-owalo-owalo,Eliud Owalo,"[""Owalo""]",Hon.,,male,false,"eliud owalo cs ict digital economy",alive,1970-01-01,,siaya,https://www.ict.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
ke/kilifi/stewart-mwachiru-madzayo-madzayo,Stewart Mwachiru Madzayo,"[""Madzayo""]",Hon.,,male,false,"stewart madzayo minority leader senate kilifi",alive,1958-01-01,,kilifi,https://www.parliament.go.ke,true,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z,2026-03-22T00:00:00Z
