geo_unit_code,table_code,column_code,indicator_code,period_code,numeric_value,text_value,geo_unit_id,table_id,indicator_id,period_id,column_id
ke,ke/education/enrollment/school-census-2022,primary-enrollment,education/enrollment,year/2022,10234567,,ke,ke/education/enrollment/school-census-2022,education/enrollment,year/2022,primary-enrollment
ke,ke/education/enrollment/school-census-2022,secondary-enrollment,education/enrollment,year/2022,3456789,,ke,ke/education/enrollment/school-census-2022,education/enrollment,year/2022,secondary-enrollment
ke,ke/education/enrollment/school-census-2022,tertiary-enrollment,education/enrollment,year/2022,567890,,ke,ke/education/enrollment/school-census-2022,education/enrollment,year/2022,tertiary-enrollment
ke,ke/education/enrollment/school-census-2022,adult-literacy-rate,education/literacy,year/2022,81.5,,ke,ke/education/enrollment/school-census-2022,education/literacy,year/2022,adult-literacy-rate
ke,ke/education/enrollment/school-census-2022,youth-literacy-rate,education/literacy,year/2022,87.2,,ke,ke/education/enrollment/school-census-2022,education/literacy,year/2022,youth-literacy-rate
ke,ke/education/enrollment/school-census-2022,primary-schools,education/facilities,year/2022,32876,,ke,ke/education/enrollment/school-census-2022,education/facilities,year/2022,primary-schools
ke,ke/education/enrollment/school-census-2022,secondary-schools,education/facilities,year/2022,10987,,ke,ke/education/enrollment/school-census-2022,education/facilities,year/2022,secondary-schools
ke,ke/education/enrollment/school-census-2022,tertiary-institutions,education/facilities,year/2022,789,,ke,ke/education/enrollment/school-census-2022,education/facilities,year/2022,tertiary-institutions
ke,ke/health/facilities/health-facility-survey-2022,hospitals,health/facilities,year/2022,8765,,ke,ke/health/facilities/health-facility-survey-2022,health/facilities,year/2022,hospitals
ke,ke/health/facilities/health-facility-survey-2022,health-centers,health/facilities,year/2022,12456,,ke,ke/health/facilities/health-facility-survey-2022,health/facilities,year/2022,health-centers
ke,ke/health/facilities/health-facility-survey-2022,dispensaries,health/facilities,year/2022,54321,,ke,ke/health/facilities/health-facility-survey-2022,health/facilities,year/2022,dispensaries
ke,ke/health/facilities/health-facility-survey-2022,doctors,health/personnel,year/2022,12456,,ke,ke/health/facilities/health-facility-survey-2022,health/personnel,year/2022,doctors
ke,ke/health/facilities/health-facility-survey-2022,nurses,health/personnel,year/2022,65432,,ke,ke/health/facilities/health-facility-survey-2022,health/personnel,year/2022,nurses
ke,ke/health/facilities/health-facility-survey-2022,clinical-officers,health/personnel,year/2022,23456,,ke,ke/health/facilities/health-facility-survey-2022,health/personnel,year/2022,clinical-officers
ke,ke/health/facilities/health-facility-survey-2022,infant-mortality-rate,health/mortality,year/2022,31.5,,ke,ke/health/facilities/health-facility-survey-2022,health/mortality,year/2022,infant-mortality-rate
ke,ke/health/facilities/health-facility-survey-2022,under-five-mortality-rate,health/mortality,year/2022,41.2,,ke,ke/health/facilities/health-facility-survey-2022,health/mortality,year/2022,under-five-mortality-rate
ke,ke/health/facilities/health-facility-survey-2022,maternal-mortality-rate,health/mortality,year/2022,342,,ke,ke/health/facilities/health-facility-survey-2022,health/mortality,year/2022,maternal-mortality-rate
ke,ke/infrastructure/roads/road-inventory-2023,total-road-length,infrastructure/roads,year/2023,177500,,ke,ke/infrastructure/roads/road-inventory-2023,infrastructure/roads,year/2023,total-road-length
ke,ke/infrastructure/roads/road-inventory-2023,paved-roads,infrastructure/roads,year/2023,149000,,ke,ke/infrastructure/roads/road-inventory-2023,infrastructure/roads,year/2023,paved-roads
ke,ke/infrastructure/roads/road-inventory-2023,unpaved-roads,infrastructure/roads,year/2023,28500,,ke,ke/infrastructure/roads/road-inventory-2023,infrastructure/roads,year/2023,unpaved-roads
ke,ke/climate/weather/meteorological-data-2023,average-mean-temperature,climate/temperature,year/2023,24.5,,ke,ke/climate/weather/meteorological-data-2023,climate/temperature,year/2023,average-mean-temperature
ke,ke/climate/weather/meteorological-data-2023,average-max-temperature,climate/temperature,year/2023,31.2,,ke,ke/climate/weather/meteorological-data-2023,climate/temperature,year/2023,average-max-temperature
ke,ke/climate/weather/meteorological-data-2023,average-min-temperature,climate/temperature,year/2023,17.8,,ke,ke/climate/weather/meteorological-data-2023,climate/temperature,year/2023,average-min-temperature
ke,ke/climate/weather/meteorological-data-2023,annual-rainfall,climate/rainfall,year/2023,680,,ke,ke/climate/weather/meteorological-data-2023,climate/rainfall,year/2023,annual-rainfall
ke,ke/climate/weather/meteorological-data-2023,average-monthly-rainfall,climate/rainfall,year/2023,56.7,,ke,ke/climate/weather/meteorological-data-2023,climate/rainfall,year/2023,average-monthly-rainfall
ke,ke/infrastructure/electricity/access-survey-2023,electricity-access-rate,infrastructure/electricity,year/2023,75.3,,ke,ke/infrastructure/electricity/access-survey-2023,infrastructure/electricity,year/2023,electricity-access-rate
ke,ke/infrastructure/electricity/access-survey-2023,electricity-connections,infrastructure/electricity,year/2023,8765432,,ke,ke/infrastructure/electricity/access-survey-2023,infrastructure/electricity,year/2023,electricity-connections
ke,ke/infrastructure/water/access-survey-2023,water-access-rate,infrastructure/water,year/2023,64.2,,ke,ke/infrastructure/water/access-survey-2023,infrastructure/water,year/2023,water-access-rate
ke,ke/infrastructure/water/access-survey-2023,water-connections,infrastructure/water,year/2023,6543210,,ke,ke/infrastructure/water/access-survey-2023,infrastructure/water,year/2023,water-connections
ke/nairobi,ke/nairobi/demographic/population/census-2019,total,demographic/population,census-2019,4397073,,ke/nairobi,ke/nairobi/demographic/population/census-2019,demographic/population,census-2019,total
ke/nairobi,ke/nairobi/demographic/population/census-2019,male,demographic/population,census-2019,2175628,,ke/nairobi,ke/nairobi/demographic/population/census-2019,demographic/population,census-2019,male
ke/nairobi,ke/nairobi/demographic/population/census-2019,female,demographic/population,census-2019,2221445,,ke/nairobi,ke/nairobi/demographic/population/census-2019,demographic/population,census-2019,female
ke/nairobi,ke/nairobi/demographic/population/census-2019,density-per-sq-km,demographic/density,census-2019,6968,,ke/nairobi,ke/nairobi/demographic/population/census-2019,demographic/density,census-2019,density-per-sq-km
ke/nairobi,ke/nairobi/demographic/population/census-2019,total-households,demographic/households,census-2019,1234567,,ke/nairobi,ke/nairobi/demographic/population/census-2019,demographic/households,census-2019,total-households
ke/nairobi,ke/nairobi/demographic/population/census-2019,average-household-size,demographic/households,census-2019,3.6,,ke/nairobi,ke/nairobi/demographic/population/census-2019,demographic/households,census-2019,average-household-size
ke/nairobi,ke/nairobi/economic/gdp/county-estimates-2023,gdp-total,economic/gdp,year/2023,3456789000000,,ke/nairobi,ke/nairobi/economic/gdp/county-estimates-2023,economic/gdp,year/2023,gdp-total
ke/nairobi,ke/nairobi/economic/gdp/county-estimates-2023,gdp-per-capita,economic/gdp,year/2023,786543,,ke/nairobi,ke/nairobi/economic/gdp/county-estimates-2023,economic/gdp,year/2023,gdp-per-capita
ke/nairobi,ke/nairobi/education/enrollment/school-census-2022,primary-enrollment,education/enrollment,year/2022,876543,,ke/nairobi,ke/nairobi/education/enrollment/school-census-2022,education/enrollment,year/2022,primary-enrollment
ke/nairobi,ke/nairobi/education/enrollment/school-census-2022,secondary-enrollment,education/enrollment,year/2022,345678,,ke/nairobi,ke/nairobi/education/enrollment/school-census-2022,education/enrollment,year/2022,secondary-enrollment
ke/nairobi,ke/nairobi/education/enrollment/school-census-2022,adult-literacy-rate,education/literacy,year/2022,87.2,,ke/nairobi,ke/nairobi/education/enrollment/school-census-2022,education/literacy,year/2022,adult-literacy-rate
ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,hospitals,health/facilities,year/2022,156,,ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,health/facilities,year/2022,hospitals
ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,health-centers,health/facilities,year/2022,234,,ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,health/facilities,year/2022,health-centers
ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,dispensaries,health/facilities,year/2022,567,,ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,health/facilities,year/2022,dispensaries
ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,doctors,health/personnel,year/2022,3456,,ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,health/personnel,year/2022,doctors
ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,nurses,health/personnel,year/2022,8765,,ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,health/personnel,year/2022,nurses
ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,clinical-officers,health/personnel,year/2022,2345,,ke/nairobi,ke/nairobi/health/facilities/health-facility-survey-2022,health/personnel,year/2022,clinical-officers
ke/nairobi,ke/nairobi/infrastructure/electricity/access-survey-2023,electricity-access-rate,infrastructure/electricity,year/2023,94.5,,ke/nairobi,ke/nairobi/infrastructure/electricity/access-survey-2023,infrastructure/electricity,year/2023,electricity-access-rate
ke/nairobi,ke/nairobi/infrastructure/water/access-survey-2023,water-access-rate,infrastructure/water,year/2023,81.2,,ke/nairobi,ke/nairobi/infrastructure/water/access-survey-2023,infrastructure/water,year/2023,water-access-rate
ke/mombasa,ke/mombasa/demographic/population/census-2019,total,demographic/population,census-2019,1234567,,ke/mombasa,ke/mombasa/demographic/population/census-2019,demographic/population,census-2019,total
ke/mombasa,ke/mombasa/demographic/population/census-2019,male,demographic/population,census-2019,623456,,ke/mombasa,ke/mombasa/demographic/population/census-2019,demographic/population,census-2019,male
ke/mombasa,ke/mombasa/demographic/population/census-2019,female,demographic/population,census-2019,611111,,ke/mombasa,ke/mombasa/demographic/population/census-2019,demographic/population,census-2019,female
ke/mombasa,ke/mombasa/demographic/population/census-2019,density-per-sq-km,demographic/density,census-2019,5432,,ke/mombasa,ke/mombasa/demographic/population/census-2019,demographic/density,census-2019,density-per-sq-km
ke/mombasa,ke/mombasa/economic/tourism/revenue-2023,gdp-total,economic/gdp,year/2023,876543000,,ke/mombasa,ke/mombasa/economic/tourism/revenue-2023,economic/gdp,year/2023,gdp-total
ke/kisumu,ke/kisumu/demographic/population/census-2019,total,demographic/population,census-2019,1234567,,ke/kisumu,ke/kisumu/demographic/population/census-2019,demographic/population,census-2019,total
ke/kisumu,ke/kisumu/demographic/population/census-2019,male,demographic/population,census-2019,598765,,ke/kisumu,ke/kisumu/demographic/population/census-2019,demographic/population,census-2019,male
ke/kisumu,ke/kisumu/demographic/population/census-2019,female,demographic/population,census-2019,635802,,ke/kisumu,ke/kisumu/demographic/population/census-2019,demographic/population,census-2019,female
ke/kisumu,ke/kisumu/health/mortality/malaria-surveillance-2023,infant-mortality-rate,health/mortality,year/2023,28.5,,ke/kisumu,ke/kisumu/health/mortality/malaria-surveillance-2023,health/mortality,year/2023,infant-mortality-rate
ke/nairobi/westlands,ke/nairobi/westlands/demographic/population/census-2019,total,demographic/population,census-2019,456789,,ke/nairobi/westlands,ke/nairobi/westlands/demographic/population/census-2019,demographic/population,census-2019,total
ke/nairobi/kibra,ke/nairobi/kibra/demographic/population/census-2019,total,demographic/population,census-2019,987654,,ke/nairobi/kibra,ke/nairobi/kibra/demographic/population/census-2019,demographic/population,census-2019,total
ke/nairobi/embakasi-east,ke/nairobi/embakasi/economic/informal-sector-survey-2023,employed,economic/employment,year/2023,234567,,ke/nairobi/embakasi-east,ke/nairobi/embakasi/economic/informal-sector-survey-2023,economic/employment,year/2023,employed
ke/nairobi/embakasi-east,ke/nairobi/embakasi/economic/informal-sector-survey-2023,unemployed,economic/employment,year/2023,45678,,ke/nairobi/embakasi-east,ke/nairobi/embakasi/economic/informal-sector-survey-2023,economic/employment,year/2023,unemployed
ke/nairobi/embakasi-east,ke/nairobi/embakasi/economic/informal-sector-survey-2023,unemployment-rate,economic/employment,year/2023,16.3,,ke/nairobi/embakasi-east,ke/nairobi/embakasi/economic/informal-sector-survey-2023,economic/employment,year/2023,unemployment-rate
