indicator_code,name,description,indicator_category_code,parent_indicator_code,unit,is_comparable,is_aggregatable
health/facilities,"Health Facilities","Healthcare institutions and facilities",health,,institutions,true,true
health/facilities/hospitals,"Hospitals","Number of hospitals",health,health/facilities,institutions,true,true
health/facilities/health-centers,"Health Centers","Number of health centers",health,health/facilities,institutions,true,true
health/facilities/dispensaries,"Dispensaries","Number of dispensaries",health,health/facilities,institutions,true,true
health/personnel,"Health Personnel","Healthcare workers and staff",health,,people,true,true
health/personnel/doctors,"Doctors","Number of medical doctors",health,health/personnel,people,true,true
health/personnel/nurses,"Nurses","Number of nursing staff",health,health/personnel,people,true,true
health/personnel/clinical-officers,"Clinical Officers","Number of clinical officers",health,health/personnel,people,true,true
health/mortality,"Health Mortality","Health-related mortality indicators",health,,deaths/1000-people,true,true
health/mortality/infant-mortality-rate,"Infant Mortality Rate","Deaths of infants under 1 year per 1,000 live births",health,health/mortality,deaths/1000-live-births,true,true
health/mortality/under-five-mortality-rate,"Under-Five Mortality Rate","Deaths of children under 5 years per 1,000 live births",health,health/mortality,deaths/1000-live-births,true,true
health/mortality/maternal-mortality-rate,"Maternal Mortality Rate","Maternal deaths per 100,000 live births",health,health/mortality,deaths/100000-live-births,true,true
climate/temperature,"Temperature Statistics","Temperature and climate indicators",climate,,°C,true,true
climate/temperature/average-mean,"Average Mean Temperature","Mean annual temperature",climate,climate/temperature,°C,true,true
climate/temperature/average-max,"Average Maximum Temperature","Mean annual maximum temperature",climate,climate/temperature,°C,true,true
climate/temperature/average-min,"Average Minimum Temperature","Mean annual minimum temperature",climate,climate/temperature,°C,true,true
climate/rainfall,"Rainfall Statistics","Precipitation and rainfall indicators",climate,,mm,true,true
climate/rainfall/annual-rainfall,"Annual Rainfall","Total annual rainfall",climate,climate/rainfall,mm,true,true
climate/rainfall/average-monthly,"Average Monthly Rainfall","Mean monthly rainfall",climate,climate/rainfall,mm,true,true
infrastructure/roads,"Road Infrastructure","Road network and transportation",infrastructure,,km,true,true
infrastructure/roads/total-length,"Total Road Length","Total length of roads",infrastructure,infrastructure/roads,km,true,true
infrastructure/roads/paved-roads,"Paved Roads","Length of paved roads",infrastructure,infrastructure/roads,km,true,true
infrastructure/roads/unpaved-roads,"Unpaved Roads","Length of unpaved roads",infrastructure,infrastructure/roads,km,true,true
infrastructure/electricity,"Electricity Access","Power infrastructure and electrification",infrastructure,%,true,true
infrastructure/electricity/access-rate,"Electricity Access Rate","Percentage of population with electricity access",infrastructure,infrastructure/electricity,%,true,true
infrastructure/electricity/connections,"Electricity Connections","Number of electricity connections",infrastructure,infrastructure/electricity,connections,true,true
infrastructure/water,"Water Access","Water infrastructure and access",infrastructure,%,true,true
infrastructure/water/access-rate,"Water Access Rate","Percentage of population with safe water access",infrastructure,infrastructure/water,%,true,true
infrastructure/water/connections,"Water Connections","Number of water connections",infrastructure,infrastructure/water,connections,true,true
